"sce","region","year","Units","value"
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Canada","2040","MtCO2e",218.867693965004
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Canada","2045","MtCO2e",109.411032370216
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Canada","2050","MtCO2e",-0.0733661993642077
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2020","MtCO2e",385.549333223716
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2025","MtCO2e",359.067590451704
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2030","MtCO2e",336.503173758701
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2035","MtCO2e",278.530033428929
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2040","MtCO2e",221.006595933636
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2045","MtCO2e",164.571607378159
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2050","MtCO2e",109.248310082839
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2020","MtCO2e",784.653744667381
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2025","MtCO2e",810.207450765733
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2030","MtCO2e",837.067755267605
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2035","MtCO2e",780.801317574248
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2040","MtCO2e",714.689954939041
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2045","MtCO2e",634.529061252335
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2050","MtCO2e",545.591088636674
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2020","MtCO2e",14150.2275732386
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2025","MtCO2e",14519.8368622115
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2030","MtCO2e",14418.5241995758
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2035","MtCO2e",11955.8777300085
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2040","MtCO2e",9829.34031819217
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2045","MtCO2e",7692.03109387888
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2050","MtCO2e",5519.27210891435
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2020","MtCO2e",246.194552389225
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2025","MtCO2e",238.946832985872
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2030","MtCO2e",200.848246045784
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2035","MtCO2e",153.632381510631
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2040","MtCO2e",109.24738416225
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2045","MtCO2e",66.0256763120328
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2050","MtCO2e",23.5086569676419
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2020","MtCO2e",814.11663586859
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2025","MtCO2e",658.318889792606
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2030","MtCO2e",389.119008137253
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2035","MtCO2e",384.615432462546
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2040","MtCO2e",343.82669892454
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2045","MtCO2e",274.067550204491
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2050","MtCO2e",130.292796526757
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2020","MtCO2e",2703.67248785236
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2025","MtCO2e",2407.51513135204
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2030","MtCO2e",1902.13140738677
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2035","MtCO2e",1718.91101134117
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2040","MtCO2e",1334.70351864199
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2045","MtCO2e",886.100280569171
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2050","MtCO2e",344.317122170584
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2020","MtCO2e",544.061308183946
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2025","MtCO2e",509.08939652304
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2030","MtCO2e",479.003068387142
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2035","MtCO2e",467.962733208428
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2040","MtCO2e",443.180020369657
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2045","MtCO2e",410.990739975617
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2050","MtCO2e",376.129583857111
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2020","MtCO2e",695.039690942674
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2025","MtCO2e",735.856037845773
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2030","MtCO2e",779.607895075733
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2035","MtCO2e",663.079846014354
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2040","MtCO2e",488.303932616014
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2045","MtCO2e",328.625317941488
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2050","MtCO2e",222.593110790496
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2020","MtCO2e",552.997584717857
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2025","MtCO2e",541.836415951762
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2030","MtCO2e",402.394718115988
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2035","MtCO2e",371.601000823696
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2040","MtCO2e",275.604620567099
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2045","MtCO2e",162.598258447344
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2050","MtCO2e",44.4199443877497
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2020","MtCO2e",4023.49258621359
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2025","MtCO2e",5057.54395089876
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2030","MtCO2e",5837.59760310553
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2035","MtCO2e",5183.93318157678
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2040","MtCO2e",4545.4725675586
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2045","MtCO2e",3921.78293875562
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2050","MtCO2e",3286.59907633571
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2020","MtCO2e",1371.35768819775
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2025","MtCO2e",1491.29059557898
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2030","MtCO2e",1693.24371225444
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2035","MtCO2e",1405.28416418023
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2040","MtCO2e",1116.61964300778
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2045","MtCO2e",828.142015306514
