GCAM_region_ID,sce,year,category,shares,gini,model
10,SSP2,2015,d1,0.013529092,0.408727558,GiniMinHist
5,SSP3,2015,d3,0.036400179,0.479393653,GiniMinHist
5,SSP4,2015,d3,0.036408207,0.479289317,GiniMinHist
5,SSP1,2015,d3,0.036399051,0.479378104,GiniMinHist
4,SSP2,2015,d4,0.032625227,0.574388841,GiniMinHist
4,SSP4,2015,d4,0.032730266,0.573642758,GiniMinHist
4,SSP1,2015,d4,0.032644377,0.57419095,GiniMinHist
4,SSP3,2015,d4,0.032707413,0.573827934,GiniMinHist
4,SSP5,2015,d4,0.03262315,0.574342963,GiniMinHist
29,SSP4,2015,d1,0.014031945,0.475868349,GiniMinHist
29,SSP5,2015,d1,0.014018061,0.475567667,GiniMinHist
29,SSP3,2015,d1,0.014022505,0.47594509,GiniMinHist
29,SSP1,2015,d1,0.014025155,0.475532266,GiniMinHist
29,SSP2,2015,d1,0.014023059,0.475670202,GiniMinHist
2,SSP5,2015,d5,0.048990031,0.532612156,GiniMinHist
2,SSP2,2015,d5,0.049031163,0.53228339,GiniMinHist
2,SSP1,2015,d5,0.048959364,0.532796725,GiniMinHist
2,SSP4,2015,d5,0.049095788,0.531825693,GiniMinHist
2,SSP3,2015,d5,0.049094634,0.531784947,GiniMinHist
5,SSP2,2015,d4,0.045610708,0.479413861,GiniMinHist
5,SSP5,2015,d4,0.045576985,0.479322781,GiniMinHist
5,SSP1,2015,d4,0.045589558,0.479378104,GiniMinHist
5,SSP3,2015,d4,0.04559169,0.479393653,GiniMinHist
5,SSP4,2015,d4,0.045605243,0.479289317,GiniMinHist
26,SSP4,2015,d1,0.01433336,0.488896066,GiniMinHist
26,SSP1,2015,d1,0.014344582,0.488539432,GiniMinHist
26,SSP3,2015,d1,0.014359004,0.488555611,GiniMinHist
26,SSP5,2015,d1,0.014350545,0.488423943,GiniMinHist
26,SSP2,2015,d1,0.014367344,0.488254074,GiniMinHist
4,SSP2,2015,d5,0.042285367,0.574388841,GiniMinHist
4,SSP5,2015,d5,0.042298844,0.574342963,GiniMinHist
4,SSP4,2015,d5,0.042403263,0.573642758,GiniMinHist
4,SSP1,2015,d5,0.042313814,0.57419095,GiniMinHist
4,SSP3,2015,d5,0.042368463,0.573827934,GiniMinHist
2,SSP5,2015,d6,0.060080195,0.532612156,GiniMinHist
2,SSP2,2015,d6,0.060116221,0.53228339,GiniMinHist
2,SSP1,2015,d6,0.060110277,0.532796725,GiniMinHist
2,SSP4,2015,d6,0.060250186,0.531825693,GiniMinHist
2,SSP3,2015,d6,0.060212586,0.531784947,GiniMinHist
17,SSP1,2015,d2,0.027190853,0.493857304,GiniMinHist
17,SSP5,2015,d2,0.027190853,0.493857304,GiniMinHist
17,SSP3,2015,d2,0.027190853,0.493857304,GiniMinHist
17,SSP4,2015,d2,0.027190853,0.493857304,GiniMinHist
17,SSP2,2015,d2,0.027190853,0.493857304,GiniMinHist
5,SSP5,2015,d5,0.055766434,0.479322781,GiniMinHist
5,SSP4,2015,d5,0.055759657,0.479289317,GiniMinHist
5,SSP1,2015,d5,0.055742646,0.479378104,GiniMinHist
5,SSP2,2015,d5,0.055728495,0.479413861,GiniMinHist
5,SSP3,2015,d5,0.05572656,0.479393653,GiniMinHist
18,SSP3,2015,d1,0.022996293,0.405839854,GiniMinHist
18,SSP2,2015,d1,0.022996293,0.405839854,GiniMinHist
18,SSP1,2015,d1,0.022996293,0.405839854,GiniMinHist
18,SSP5,2015,d1,0.022996293,0.405839854,GiniMinHist
18,SSP4,2015,d1,0.022996293,0.405839854,GiniMinHist
24,SSP2,2015,d2,0.010637334,0.638829716,GiniMinHist
24,SSP1,2015,d2,0.010637334,0.638829716,GiniMinHist
24,SSP5,2015,d2,0.010637334,0.638829716,GiniMinHist
24,SSP4,2015,d2,0.010637334,0.638829716,GiniMinHist
24,SSP3,2015,d2,0.010637334,0.638829716,GiniMinHist
2,SSP5,2015,d7,0.075884003,0.532612156,GiniMinHist
2,SSP2,2015,d7,0.075912772,0.53228339,GiniMinHist
2,SSP1,2015,d7,0.075922081,0.532796725,GiniMinHist
2,SSP4,2015,d7,0.076078139,0.531825693,GiniMinHist
2,SSP3,2015,d7,0.076013227,0.531784947,GiniMinHist
4,SSP2,2015,d6,0.055610884,0.574388841,GiniMinHist
4,SSP4,2015,d6,0.055745417,0.573642758,GiniMinHist
4,SSP1,2015,d6,0.055745596,0.57419095,GiniMinHist
4,SSP3,2015,d6,0.055653195,0.573827934,GiniMinHist
4,SSP5,2015,d6,0.055727302,0.574342963,GiniMinHist
5,SSP5,2015,d6,0.069526227,0.479322781,GiniMinHist
5,SSP4,2015,d6,0.069508455,0.479289317,GiniMinHist
5,SSP1,2015,d6,0.069499303,0.479378104,GiniMinHist
5,SSP2,2015,d6,0.069513234,0.479413861,GiniMinHist
5,SSP3,2015,d6,0.069494811,0.479393653,GiniMinHist
29,SSP4,2015,d2,0.025762512,0.475868349,GiniMinHist
29,SSP5,2015,d2,0.025797352,0.475567667,GiniMinHist
29,SSP3,2015,d2,0.025759381,0.47594509,GiniMinHist
29,SSP1,2015,d2,0.025803328,0.475532266,GiniMinHist
29,SSP2,2015,d2,0.025792305,0.475670202,GiniMinHist
17,SSP1,2015,d3,0.035701804,0.493857304,GiniMinHist
17,SSP5,2015,d3,0.035701804,0.493857304,GiniMinHist
17,SSP3,2015,d3,0.035701804,0.493857304,GiniMinHist
17,SSP4,2015,d3,0.035701804,0.493857304,GiniMinHist
17,SSP2,2015,d3,0.035701804,0.493857304,GiniMinHist
9,SSP4,2015,d2,0.020193939,0.53543736,GiniMinHist
9,SSP2,2015,d2,0.020153367,0.535638753,GiniMinHist
9,SSP5,2015,d2,0.020149668,0.535299542,GiniMinHist
9,SSP3,2015,d2,0.020157921,0.53580559,GiniMinHist
9,SSP1,2015,d2,0.020116447,0.535468989,GiniMinHist
2,SSP5,2015,d8,0.099893585,0.532612156,GiniMinHist
2,SSP2,2015,d8,0.099985362,0.53228339,GiniMinHist
2,SSP1,2015,d8,0.099961476,0.532796725,GiniMinHist
2,SSP4,2015,d8,0.100188903,0.531825693,GiniMinHist
2,SSP3,2015,d8,0.100099392,0.531784947,GiniMinHist
32,SSP5,2015,d1,0.014569928,0.498532087,GiniMinHist
32,SSP1,2015,d1,0.014569928,0.498532087,GiniMinHist
32,SSP4,2015,d1,0.014569928,0.498532087,GiniMinHist
32,SSP2,2015,d1,0.014569928,0.498532087,GiniMinHist
32,SSP3,2015,d1,0.014569928,0.498532087,GiniMinHist
27,SSP5,2015,d1,0.02467307,0.398789728,GiniMinHist
27,SSP3,2015,d1,0.02467307,0.398789728,GiniMinHist
27,SSP4,2015,d1,0.02467307,0.398789728,GiniMinHist
27,SSP1,2015,d1,0.02467307,0.398789728,GiniMinHist
27,SSP2,2015,d1,0.02467307,0.398789728,GiniMinHist
10,SSP2,2015,d2,0.023519856,0.408727558,GiniMinHist
10,SSP3,2015,d2,0.023275103,0.410047327,GiniMinHist
10,SSP4,2015,d2,0.02322651,0.410182966,GiniMinHist
10,SSP1,2015,d2,0.023293895,0.40962998,GiniMinHist
5,SSP5,2015,d7,0.087637639,0.479322781,GiniMinHist
5,SSP4,2015,d7,0.087623296,0.479289317,GiniMinHist
5,SSP1,2015,d7,0.087619604,0.479378104,GiniMinHist
5,SSP2,2015,d7,0.087607737,0.479413861,GiniMinHist
5,SSP3,2015,d7,0.087598561,0.479393653,GiniMinHist
7,SSP2,2015,d1,0.014878664,0.493974941,GiniMinHist
7,SSP3,2015,d1,0.014878664,0.493974941,GiniMinHist
7,SSP1,2015,d1,0.014878664,0.493974941,GiniMinHist
7,SSP4,2015,d1,0.014878664,0.493974941,GiniMinHist
7,SSP5,2015,d1,0.014878664,0.493974941,GiniMinHist
4,SSP2,2015,d7,0.076169217,0.574388841,GiniMinHist
4,SSP4,2015,d7,0.076310602,0.573642758,GiniMinHist
4,SSP1,2015,d7,0.076236323,0.57419095,GiniMinHist
4,SSP3,2015,d7,0.076247411,0.573827934,GiniMinHist
4,SSP5,2015,d7,0.076230888,0.574342963,GiniMinHist
17,SSP1,2015,d4,0.044473152,0.493857304,GiniMinHist
17,SSP5,2015,d4,0.044473152,0.493857304,GiniMinHist
17,SSP3,2015,d4,0.044473152,0.493857304,GiniMinHist
17,SSP4,2015,d4,0.044473152,0.493857304,GiniMinHist
17,SSP2,2015,d4,0.044473152,0.493857304,GiniMinHist
21,SSP5,2015,d1,0.019522573,0.441439198,GiniMinHist
21,SSP3,2015,d1,0.019579333,0.440852896,GiniMinHist
21,SSP2,2015,d1,0.019551229,0.441151942,GiniMinHist
21,SSP4,2015,d1,0.019575589,0.440819264,GiniMinHist
21,SSP1,2015,d1,0.019561232,0.441003272,GiniMinHist
10,SSP5,2015,d2,0.023555457,0.408181102,GiniMinHist
9,SSP4,2015,d3,0.027013394,0.53543736,GiniMinHist
9,SSP2,2015,d3,0.026942244,0.535638753,GiniMinHist
9,SSP5,2015,d3,0.026956264,0.535299542,GiniMinHist
9,SSP3,2015,d3,0.026950316,0.53580559,GiniMinHist
9,SSP1,2015,d3,0.026955461,0.535468989,GiniMinHist
24,SSP2,2015,d3,0.017129965,0.638829716,GiniMinHist
24,SSP1,2015,d3,0.017129965,0.638829716,GiniMinHist
24,SSP5,2015,d3,0.017129965,0.638829716,GiniMinHist
24,SSP4,2015,d3,0.017129965,0.638829716,GiniMinHist
24,SSP3,2015,d3,0.017129965,0.638829716,GiniMinHist
18,SSP3,2015,d2,0.037223962,0.405839854,GiniMinHist
18,SSP2,2015,d2,0.037223962,0.405839854,GiniMinHist
18,SSP1,2015,d2,0.037223962,0.405839854,GiniMinHist
18,SSP5,2015,d2,0.037223962,0.405839854,GiniMinHist
18,SSP4,2015,d2,0.037223962,0.405839854,GiniMinHist
2,SSP2,2015,d9,0.143693933,0.53228339,GiniMinHist
2,SSP3,2015,d9,0.143747035,0.531784947,GiniMinHist
2,SSP4,2015,d9,0.143647236,0.531825693,GiniMinHist
2,SSP1,2015,d9,0.143660089,0.532796725,GiniMinHist
2,SSP5,2015,d9,0.143708651,0.532612156,GiniMinHist
5,SSP2,2015,d8,0.117567297,0.479413861,GiniMinHist
5,SSP5,2015,d8,0.117613665,0.479322781,GiniMinHist
5,SSP1,2015,d8,0.117646474,0.479378104,GiniMinHist
5,SSP3,2015,d8,0.117554114,0.479393653,GiniMinHist
5,SSP4,2015,d8,0.117575245,0.479289317,GiniMinHist
3,SSP1,2015,d1,0.032118096,0.341510543,GiniMinHist
3,SSP2,2015,d1,0.032121973,0.341547389,GiniMinHist
3,SSP4,2015,d1,0.032118675,0.341495869,GiniMinHist
3,SSP5,2015,d1,0.032117482,0.341498909,GiniMinHist
3,SSP3,2015,d1,0.032123291,0.341621013,GiniMinHist
26,SSP4,2015,d2,0.024426352,0.488896066,GiniMinHist
26,SSP1,2015,d2,0.0244822,0.488539432,GiniMinHist
26,SSP3,2015,d2,0.024490387,0.488555611,GiniMinHist
26,SSP5,2015,d2,0.024532304,0.488423943,GiniMinHist
26,SSP2,2015,d2,0.024543991,0.488254074,GiniMinHist
17,SSP1,2015,d5,0.054294503,0.493857304,GiniMinHist
17,SSP5,2015,d5,0.054294503,0.493857304,GiniMinHist
17,SSP3,2015,d5,0.054294503,0.493857304,GiniMinHist
17,SSP4,2015,d5,0.054294503,0.493857304,GiniMinHist
17,SSP2,2015,d5,0.054294503,0.493857304,GiniMinHist
29,SSP4,2015,d3,0.032979082,0.475868349,GiniMinHist
29,SSP5,2015,d3,0.033072753,0.475567667,GiniMinHist
29,SSP3,2015,d3,0.032990044,0.47594509,GiniMinHist
29,SSP1,2015,d3,0.033075813,0.475532266,GiniMinHist
29,SSP2,2015,d3,0.033059946,0.475670202,GiniMinHist
9,SSP4,2015,d4,0.036659691,0.53543736,GiniMinHist
9,SSP5,2015,d4,0.036718198,0.535299542,GiniMinHist
9,SSP2,2015,d4,0.036647731,0.535638753,GiniMinHist
9,SSP1,2015,d4,0.03668583,0.535468989,GiniMinHist
9,SSP3,2015,d4,0.03660815,0.53580559,GiniMinHist
4,SSP2,2015,d8,0.104714426,0.574388841,GiniMinHist
4,SSP4,2015,d8,0.104727525,0.573642758,GiniMinHist
4,SSP1,2015,d8,0.10477518,0.57419095,GiniMinHist
4,SSP3,2015,d8,0.104710396,0.573827934,GiniMinHist
4,SSP5,2015,d8,0.104785199,0.574342963,GiniMinHist
18,SSP3,2015,d3,0.046968745,0.405839854,GiniMinHist
18,SSP2,2015,d3,0.046968745,0.405839854,GiniMinHist
18,SSP1,2015,d3,0.046968745,0.405839854,GiniMinHist
18,SSP5,2015,d3,0.046968745,0.405839854,GiniMinHist
18,SSP4,2015,d3,0.046968745,0.405839854,GiniMinHist
27,SSP5,2015,d2,0.038867756,0.398789728,GiniMinHist
27,SSP3,2015,d2,0.038867756,0.398789728,GiniMinHist
27,SSP4,2015,d2,0.038867756,0.398789728,GiniMinHist
27,SSP1,2015,d2,0.038867756,0.398789728,GiniMinHist
27,SSP2,2015,d2,0.038867756,0.398789728,GiniMinHist
11,SSP4,2015,d1,0.023807043,0.385893911,GiniMinHist
11,SSP5,2015,d1,0.023807043,0.385893911,GiniMinHist
11,SSP1,2015,d1,0.023807043,0.385893911,GiniMinHist
11,SSP3,2015,d1,0.023807043,0.385893911,GiniMinHist
11,SSP2,2015,d1,0.023807043,0.385893911,GiniMinHist
15,SSP4,2015,d1,0.018962005,0.436224383,GiniMinHist
15,SSP5,2015,d1,0.01896372,0.436183941,GiniMinHist
15,SSP1,2015,d1,0.0189645,0.436181156,GiniMinHist
15,SSP2,2015,d1,0.018962654,0.436209368,GiniMinHist
15,SSP3,2015,d1,0.018961189,0.436240182,GiniMinHist
10,SSP2,2015,d3,0.037342186,0.408727558,GiniMinHist
10,SSP3,2015,d3,0.036915414,0.410047327,GiniMinHist
17,SSP1,2015,d6,0.066282408,0.493857304,GiniMinHist
17,SSP5,2015,d6,0.066282408,0.493857304,GiniMinHist
17,SSP3,2015,d6,0.066282408,0.493857304,GiniMinHist
17,SSP4,2015,d6,0.066282408,0.493857304,GiniMinHist
17,SSP2,2015,d6,0.066282408,0.493857304,GiniMinHist
10,SSP5,2015,d3,0.037601157,0.408181102,GiniMinHist
10,SSP4,2015,d3,0.036991626,0.410182966,GiniMinHist
10,SSP1,2015,d3,0.037179405,0.40962998,GiniMinHist
32,SSP5,2015,d2,0.025855213,0.498532087,GiniMinHist
32,SSP1,2015,d2,0.025855213,0.498532087,GiniMinHist
32,SSP4,2015,d2,0.025855213,0.498532087,GiniMinHist
32,SSP2,2015,d2,0.025855213,0.498532087,GiniMinHist
32,SSP3,2015,d2,0.025855213,0.498532087,GiniMinHist
20,SSP4,2015,d1,0.017206809,0.469558544,GiniMinHist
20,SSP5,2015,d1,0.017206809,0.469558544,GiniMinHist
20,SSP2,2015,d1,0.017206809,0.469558544,GiniMinHist
20,SSP1,2015,d1,0.017206809,0.469558544,GiniMinHist
20,SSP3,2015,d1,0.017206809,0.469558544,GiniMinHist
24,SSP2,2015,d4,0.024983356,0.638829716,GiniMinHist
24,SSP1,2015,d4,0.024983356,0.638829716,GiniMinHist
24,SSP5,2015,d4,0.024983356,0.638829716,GiniMinHist
24,SSP4,2015,d4,0.024983356,0.638829716,GiniMinHist
24,SSP3,2015,d4,0.024983356,0.638829716,GiniMinHist
14,SSP3,2015,d1,0.033786913,0.311766314,GiniMinHist
14,SSP1,2015,d1,0.033819428,0.311372696,GiniMinHist
14,SSP5,2015,d1,0.033829466,0.311252995,GiniMinHist
14,SSP4,2015,d1,0.033839648,0.311126413,GiniMinHist
14,SSP2,2015,d1,0.033816694,0.311405295,GiniMinHist
18,SSP3,2015,d4,0.056306798,0.405839854,GiniMinHist
18,SSP2,2015,d4,0.056306798,0.405839854,GiniMinHist
18,SSP1,2015,d4,0.056306798,0.405839854,GiniMinHist
18,SSP5,2015,d4,0.056306798,0.405839854,GiniMinHist
18,SSP4,2015,d4,0.056306798,0.405839854,GiniMinHist
27,SSP5,2015,d3,0.048295752,0.398789728,GiniMinHist
27,SSP3,2015,d3,0.048295752,0.398789728,GiniMinHist
27,SSP4,2015,d3,0.048295752,0.398789728,GiniMinHist
27,SSP1,2015,d3,0.048295752,0.398789728,GiniMinHist
27,SSP2,2015,d3,0.048295752,0.398789728,GiniMinHist
5,SSP5,2015,d9,0.166429683,0.479322781,GiniMinHist
3,SSP1,2015,d2,0.047756399,0.341510543,GiniMinHist
3,SSP2,2015,d2,0.04774273,0.341547389,GiniMinHist
3,SSP4,2015,d2,0.047759598,0.341495869,GiniMinHist
5,SSP4,2015,d9,0.16642427,0.479289317,GiniMinHist
3,SSP5,2015,d2,0.047760069,0.341498909,GiniMinHist
5,SSP1,2015,d9,0.166369515,0.479378104,GiniMinHist
5,SSP2,2015,d9,0.166437633,0.479413861,GiniMinHist
3,SSP3,2015,d2,0.047722213,0.341621013,GiniMinHist
5,SSP3,2015,d9,0.166450532,0.479393653,GiniMinHist
25,SSP2,2015,d1,0.024512307,0.373789091,GiniMinHist
25,SSP1,2015,d1,0.024512307,0.373789091,GiniMinHist
25,SSP3,2015,d1,0.024512307,0.373789091,GiniMinHist
7,SSP2,2015,d2,0.026334771,0.493974941,GiniMinHist
25,SSP5,2015,d1,0.024512307,0.373789091,GiniMinHist
7,SSP3,2015,d2,0.026334771,0.493974941,GiniMinHist
7,SSP1,2015,d2,0.026334771,0.493974941,GiniMinHist
7,SSP4,2015,d2,0.026334771,0.493974941,GiniMinHist
7,SSP5,2015,d2,0.026334771,0.493974941,GiniMinHist
25,SSP4,2015,d1,0.024512307,0.373789091,GiniMinHist
31,SSP3,2015,d1,0.018301807,0.4191763,GiniMinHist
31,SSP1,2015,d1,0.018301807,0.4191763,GiniMinHist
31,SSP4,2015,d1,0.018301807,0.4191763,GiniMinHist
31,SSP5,2015,d1,0.018301807,0.4191763,GiniMinHist
31,SSP2,2015,d1,0.018301807,0.4191763,GiniMinHist
9,SSP4,2015,d5,0.047224733,0.53543736,GiniMinHist
9,SSP2,2015,d5,0.047176212,0.535638753,GiniMinHist
9,SSP5,2015,d5,0.047268781,0.535299542,GiniMinHist
29,SSP4,2015,d4,0.044960457,0.475868349,GiniMinHist
29,SSP5,2015,d4,0.044981196,0.475567667,GiniMinHist
9,SSP3,2015,d5,0.047151646,0.53580559,GiniMinHist
29,SSP3,2015,d4,0.044947977,0.47594509,GiniMinHist
29,SSP1,2015,d4,0.044983674,0.475532266,GiniMinHist
29,SSP2,2015,d4,0.044973278,0.475670202,GiniMinHist
9,SSP1,2015,d5,0.047279392,0.535468989,GiniMinHist
17,SSP1,2015,d7,0.082573333,0.493857304,GiniMinHist
17,SSP5,2015,d7,0.082573333,0.493857304,GiniMinHist
17,SSP3,2015,d7,0.082573333,0.493857304,GiniMinHist
17,SSP4,2015,d7,0.082573333,0.493857304,GiniMinHist
17,SSP2,2015,d7,0.082573333,0.493857304,GiniMinHist
21,SSP5,2015,d2,0.032012024,0.441439198,GiniMinHist
21,SSP3,2015,d2,0.032108425,0.440852896,GiniMinHist
21,SSP2,2015,d2,0.032060231,0.441151942,GiniMinHist
21,SSP4,2015,d2,0.032098958,0.440819264,GiniMinHist
21,SSP1,2015,d2,0.03207648,0.441003272,GiniMinHist
18,SSP3,2015,d5,0.066230953,0.405839854,GiniMinHist
18,SSP2,2015,d5,0.066230953,0.405839854,GiniMinHist
18,SSP1,2015,d5,0.066230953,0.405839854,GiniMinHist
18,SSP5,2015,d5,0.066230953,0.405839854,GiniMinHist
18,SSP4,2015,d5,0.066230953,0.405839854,GiniMinHist
26,SSP3,2015,d3,0.034066243,0.488555611,GiniMinHist
26,SSP4,2015,d3,0.034031516,0.488896066,GiniMinHist
26,SSP5,2015,d3,0.034049437,0.488423943,GiniMinHist
26,SSP2,2015,d3,0.03406864,0.488254074,GiniMinHist
26,SSP1,2015,d3,0.03404324,0.488539432,GiniMinHist
33,SSP5,2015,d1,0.022499132,0.388987506,GiniMinHist
33,SSP1,2015,d1,0.022499132,0.388987506,GiniMinHist
33,SSP4,2015,d1,0.022499132,0.388987506,GiniMinHist
33,SSP2,2015,d1,0.022499132,0.388987506,GiniMinHist
33,SSP3,2015,d1,0.022499132,0.388987506,GiniMinHist
32,SSP5,2015,d3,0.034697753,0.498532087,GiniMinHist
32,SSP1,2015,d3,0.034697753,0.498532087,GiniMinHist
32,SSP4,2015,d3,0.034697753,0.498532087,GiniMinHist
32,SSP2,2015,d3,0.034697753,0.498532087,GiniMinHist
32,SSP3,2015,d3,0.034697753,0.498532087,GiniMinHist
27,SSP5,2015,d4,0.057217302,0.398789728,GiniMinHist
27,SSP3,2015,d4,0.057217302,0.398789728,GiniMinHist
27,SSP4,2015,d4,0.057217302,0.398789728,GiniMinHist
27,SSP1,2015,d4,0.057217302,0.398789728,GiniMinHist
27,SSP2,2015,d4,0.057217302,0.398789728,GiniMinHist
4,SSP4,2015,d9,0.156873448,0.573642758,GiniMinHist
4,SSP1,2015,d9,0.156384596,0.57419095,GiniMinHist
4,SSP5,2015,d9,0.156355077,0.574342963,GiniMinHist
4,SSP2,2015,d9,0.156778304,0.574388841,GiniMinHist
4,SSP3,2015,d9,0.157114837,0.573827934,GiniMinHist
3,SSP1,2015,d3,0.056294941,0.341510543,GiniMinHist
3,SSP2,2015,d3,0.056298143,0.341547389,GiniMinHist
3,SSP4,2015,d3,0.056296128,0.341495869,GiniMinHist
3,SSP5,2015,d3,0.056294638,0.341498909,GiniMinHist
3,SSP3,2015,d3,0.056297084,0.341621013,GiniMinHist
24,SSP2,2015,d5,0.034652839,0.638829716,GiniMinHist
24,SSP1,2015,d5,0.034652839,0.638829716,GiniMinHist
24,SSP5,2015,d5,0.034652839,0.638829716,GiniMinHist
24,SSP4,2015,d5,0.034652839,0.638829716,GiniMinHist
24,SSP3,2015,d5,0.034652839,0.638829716,GiniMinHist
29,SSP4,2015,d5,0.057272311,0.475868349,GiniMinHist
29,SSP5,2015,d5,0.05733756,0.475567667,GiniMinHist
29,SSP3,2015,d5,0.057257838,0.47594509,GiniMinHist
29,SSP1,2015,d5,0.057343924,0.475532266,GiniMinHist
29,SSP2,2015,d5,0.057311289,0.475670202,GiniMinHist
18,SSP3,2015,d6,0.077782702,0.405839854,GiniMinHist
18,SSP2,2015,d6,0.077782702,0.405839854,GiniMinHist
18,SSP1,2015,d6,0.077782702,0.405839854,GiniMinHist
18,SSP5,2015,d6,0.077782702,0.405839854,GiniMinHist
18,SSP4,2015,d6,0.077782702,0.405839854,GiniMinHist
11,SSP4,2015,d2,0.038916367,0.385893911,GiniMinHist
11,SSP5,2015,d2,0.038916367,0.385893911,GiniMinHist
11,SSP1,2015,d2,0.038916367,0.385893911,GiniMinHist
11,SSP3,2015,d2,0.038916367,0.385893911,GiniMinHist
11,SSP2,2015,d2,0.038916367,0.385893911,GiniMinHist
12,SSP4,2015,d1,0.030809729,0.307378954,GiniMinHist
9,SSP4,2015,d6,0.061190855,0.53543736,GiniMinHist
12,SSP5,2015,d1,0.030848886,0.307240412,GiniMinHist
12,SSP1,2015,d1,0.030814169,0.307356963,GiniMinHist
12,SSP2,2015,d1,0.030825882,0.307321649,GiniMinHist
9,SSP3,2015,d6,0.061169688,0.53580559,GiniMinHist
12,SSP3,2015,d1,0.030844443,0.307289929,GiniMinHist
