sce,decile,region,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
"Ref_SSP2_Ineq,date=2024-29-2T10:36:39+01:00",resid_d3,Africa_Eastern,0.455321098,0.5535636,0.75999515,0.866360275,1.060525197,1.23168961,1.529634021,1.908390025,2.424496851,3.10640115,3.988936788
"Ref_SSP2_Ineq,date=2024-29-2T10:36:39+01:00",resid_d4,Africa_Eastern,0.568681415,0.67396104,0.939177362,1.075293602,1.361744747,1.588088019,1.971926777,2.450483653,3.084877481,3.919376204,5.02037242
"Ref_SSP2_Ineq,date=2024-29-2T10:36:39+01:00",resid_d5,Africa_Eastern,0.700856308,0.817959973,1.131543986,1.290558241,1.668545542,1.938033987,2.403672003,2.98009169,3.742816898,4.730082422,5.998953936
"Ref_SSP2_Ineq,date=2024-29-2T10:36:39+01:00",resid_d6,Africa_Eastern,0.864925364,1.029259972,1.346258887,1.553650149,2.016744459,2.342548511,2.892124176,3.576194818,4.488821663,5.671905984,7.156806181
"Ref_SSP2_Ineq,date=2024-29-2T10:36:39+01:00",resid_d7,Africa_Eastern,1.140288559,1.386655365,1.744367557,1.994158584,2.46162285,2.857513931,3.527030473,4.351810933,5.429089185,6.808281148,8.590319784
"Ref_SSP2_Ineq,date=2024-29-2T10:36:39+01:00",resid_d8,Africa_Eastern,1.751080892,2.017983701,2.456027628,2.750384762,3.119962924,3.615030598,4.441795708,5.457042001,6.762671469,8.459966483,10.60049999
"Ref_SSP2_Ineq,date=2024-29-2T10:36:39+01:00",resid_d9,Africa_Eastern,2.527013806,3.112103524,3.696070471,4.078325236,4.424609385,5.08862388,6.221504943,7.59729598,9.372393,11.63261115,14.46274064
"Gini25_SSP2_Ineq,date=2024-29-2T10:56:41+01:00",resid_d1,Africa_Northern,1.695669092,2.503966709,3.161365704,3.385356281,4.12815579,4.968519946,6.201611855,7.600929846,9.198573069,11.01336309,13.06756898
"Gini25_SSP2_Ineq,date=2024-29-2T10:56:41+01:00",resid_d10,Africa_Northern,24.19819413,27.06699169,29.62420851,30.86913378,34.72270905,38.7592821,44.88570088,51.03951342,57.30280782,63.64483599,70.03205454
"Gini25_SSP2_Ineq,date=2024-29-2T10:56:41+01:00",resid_d2,Africa_Northern,2.582504805,3.794669372,4.772291174,5.031646723,5.994481485,7.133884871,8.822141808,10.73322928,12.92263363,15.40810489,18.22966218
"Gini25_SSP2_Ineq,date=2024-29-2T10:56:41+01:00",resid_d3,Africa_Northern,3.309087022,4.73082783,5.81628228,5.933311405,7.12848066,8.453723687,10.39877383,12.58719983,15.0819887,17.90028483,21.08522873
"Gini25_SSP2_Ineq,date=2024-29-2T10:56:41+01:00",resid_d4,Africa_Northern,3.896445577,5.479357666,6.757639962,6.803435993,8.055396053,9.513880839,11.68567491,14.10909092,16.83826415,19.89676815,23.31777359
